time,AC_mean,CH_mean,AC_energy_per_area,CH_energy_per_area
2.714193609330330673e+03,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,7.424938702841812899e-02
2.945167166395968707e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.364230997957425806e-02
3.195796205620351429e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.303459812466003842e-02
3.467753377257463853e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.242545518105264479e-02
3.762853671436240347e+03,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,7.181417485573984849e-02
4.083066531057401789e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.120013218893321560e-02
4.430528995478526667e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,7.058277479842375857e-02
4.807559962705891849e+03,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,6.996161407156431533e-02
5.216675665276018663e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,6.933621640727084812e-02
5.660606463110250843e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,6.870619466956992549e-02
6.142315065414381024e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,6.807120006284933522e-02
6.665016303233112012e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,6.743091466276392165e-02
7.232198584617249253e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,6.678504482710509449e-02
7.847647175591681844e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,6.613331566859331767e-02
8.515469462296476195e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,6.547546670639546595e-02
9.240122362896208870e+03,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,6.481124874057449248e-02
1.002644207219891359e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,6.414042192892539795e-02
1.087967633749504239e+04,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,6.346275499867658210e-02
1.180551948101865128e+04,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,6.277802549797407983e-02
1.281015040276465152e+04,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,6.208602097769752581e-02
1.390027381728495493e+04,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,6.138654098251178359e-02
1.508316499967075833e+04,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,6.067939971155252021e-02
1.636671833934627466e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,5.996442917936227468e-02
1.775950002571352888e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,5.924148266887893644e-02
1.927080521726116422e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,5.851043822770438108e-02
2.091072007567400215e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,5.777120192533556631e-02
2.269018907894600125e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,5.702371056970426122e-02
2.462108806273266600e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,5.626793358059502259e-02
2.671630347740560319e+04,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,5.550387373776235339e-02
2.898981838975708524e+04,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,5.473156656515940077e-02
3.145680580331197780e+04,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,5.395107818253788712e-02
3.413372992005058040e+04,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,5.316250155385092435e-02
3.703845601934203296e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,5.236595118637128732e-02
4.019036968740110024e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,5.156155647581985024e-02
4.361050619298089441e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,5.074945403342182026e-02
4.732169087273236801e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,4.992977944786873568e-02
5.134869146313324745e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,4.910265900755218793e-02
5.571838339562306646e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,4.826820192463003589e-02
6.045992915808962425e+04,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,4.742649356572345432e-02
6.560497291973428219e+04,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,4.657759012142650978e-02
7.118785171820163669e+04,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,4.572151506168899149e-02
7.724582461839997268e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,4.485825764436088270e-02
8.381932137237042480e+04,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,4.398777367170010610e-02
9.095221223971774452e+04,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,4.310998860707475344e-02
9.869210076932769152e+04,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,4.222480304180967203e-02
1.070906414963456336e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,4.133210031440830851e-02
1.162038846746592171e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,4.043175582872910595e-02
1.260926503455702768e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,3.952364732843736961e-02
1.368229342391116370e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,3.860766513327693744e-02
1.484663482169242052e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,3.768372121911038597e-02
1.611005981961176149e+05,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,3.675175610809126858e-02
1.748100027436956007e+05,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,3.581174286309645599e-02
1.896860558025366627e+05,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,3.486368801919186022e-02
2.058280373044656881e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,3.390762993202159348e-02
2.233436757455203624e+05,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,3.294363562900869818e-02
2.423498671453249408e+05,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,3.197179765905745069e-02
2.629734551887554699e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,3.099223253662999888e-02
2.853520777564269956e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,3.000508213120731127e-02
3.096350854935699608e+05,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,2.901051881875378602e-02
3.359845385476651136e+05,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,2.800875451951351583e-02
3.645762881268553319e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,2.700005306689308091e-02
3.956011500972677022e+05,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,2.598474484830788286e-02
4.292661784515890758e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,2.496324244482734517e-02
4.657960471478026593e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,2.393605611294185101e-02
5.054345495401895605e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,2.290380836223467054e-02
5.484462254095365060e+05,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,2.186724748757405690e-02
5.951181264510094188e+05,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,2.082726057666790462e-02
6.457617320022517815e+05,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,1.978488708858811354e-02
7.007150277968844166e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,1.874133446007118092e-02
7.603447616166195367e+05,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,1.769799725467299106e-02
8.250488908957943786e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,1.665648107842538500e-02
8.952592386131330859e+05,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,1.561863183439684416e-02
9.714443751956977649e+05,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,1.458656989275735130e-02
1.054112745668251067e+06,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,1.356272744788887541e-02
1.143816062918084441e+06,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,1.254988578661535986e-02
1.241152989721249091e+06,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,1.155120753025183286e-02
1.346773134103398072e+06,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,1.057025736245343836e-02
1.461381384699437534e+06,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,9.611003646073337098e-03
1.585742615045428276e+06,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,8.677793062275203709e-03
1.720686788198196795e+06,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,7.775291335652432211e-03
1.867114495750000235e+06,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,6.908385431538565692e-03
2.026002968204474775e+06,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,6.082046232119019125e-03
2.198412596826066729e+06,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,5.301155200027404465e-03
2.385494010488412343e+06,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,4.570303255902168765e-03
2.588495754751321394e+06,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,3.893574280552479158e-03
2.808772624414915219e+06,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,3.274328667811487927e-03
3.047794705160946585e+06,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,2.715003828490053159e-03
3.307157184623319656e+06,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,2.216948409304093925e-03
3.588590998365190811e+06,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,1.780305398526618862e-03
3.893974381811680738e+06,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,1.403956476391248105e-03
4.225345405233788304e+06,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,1.085536111890556942e-03
4.584915575439366512e+06,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,8.215190860830596728e-04
4.975084594946485944e+06,2.260154574525122251e-01,2.260154574525122251e-01,0.000000000000000000e+00,6.073793830805912421e-04
5.398456377138828859e+06,2.260154574525122251e-01,2.260154574525122806e-01,0.000000000000000000e+00,4.378119121749079546e-04
5.857856424285469577e+06,2.260154574525122251e-01,2.260154574525122528e-01,0.000000000000000000e+00,3.070017888328154714e-04
